duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,count,label
0,tcp,http,SF,215,45076,0,0,0,9,normal
0,tcp,http,SF,162,4528,0,0,0,9,normal
0,tcp,http,SF,236,1228,0,0,0,29,normal
0,tcp,http,SF,233,2032,0,0,0,33,normal
0,tcp,http,SF,239,2032,0,0,0,33,normal
0,tcp,ftp_data,SF,0,0,0,0,0,9,normal
0,udp,domain_u,SF,20,20,0,0,0,10,normal
0,tcp,private,SF,0,0,0,0,0,19,neptune
0,tcp,private,SF,0,0,0,0,0,19,neptune
0,tcp,private,SF,0,0,0,0,0,19,neptune
0,tcp,http,SF,300,1500,0,0,0,32,normal
0,tcp,http,SF,233,2032,0,0,0,25,normal
0,tcp,http,SF,233,2032,0,0,0,25,normal
0,tcp,http,SF,233,2032,0,0,0,25,normal
0,tcp,ftp_data,SF,0,0,0,0,0,8,normal
0,tcp,ftp_data,SF,0,0,0,0,0,8,normal
0,tcp,smtp,SF,370,1300,0,0,0,10,normal
0,tcp,smtp,SF,371,1301,0,0,0,10,normal
0,tcp,telnet,SF,400,1500,0,0,0,12,ipsweep
0,tcp,telnet,SF,420,1550,0,0,0,12,ipsweep
0,tcp,http,SF,212,4500,0,0,0,7,normal
0,tcp,http,SF,190,4200,0,0,0,7,normal
0,tcp,http,SF,180,4000,0,0,0,7,normal
0,udp,snmpgetattack,SF,0,0,0,0,0,5,snmpgetattack
0,udp,snmpgetattack,SF,0,0,0,0,0,5,snmpgetattack
0,icmp,ecr_i,SF,0,0,0,0,0,3,smurf
0,icmp,ecr_i,SF,0,0,0,0,0,3,smurf
0,icmp,ecr_i,SF,0,0,0,0,0,3,smurf
0,tcp,ftp,SF,320,2500,0,0,0,11,normal
0,tcp,ftp,SF,340,2600,0,0,0,11,normal
0,tcp,ftp,SF,330,2550,0,0,0,11,normal
0,tcp,private,SF,0,0,0,0,0,20,neptune
0,tcp,private,SF,0,0,0,0,0,20,neptune
0,tcp,private,SF,0,0,0,0,0,20,neptune
0,tcp,http,SF,245,2100,0,0,0,14,normal
0,tcp,http,SF,255,2200,0,0,0,14,normal
0,tcp,http,SF,260,2150,0,0,0,14,normal
0,tcp,imap,SF,390,1700,0,0,0,9,normal
0,tcp,imap,SF,410,1800,0,0,0,9,normal
0,tcp,imap,SF,420,1750,0,0,0,9,normal
0,tcp,smtp,SF,382,1320,0,0,0,11,normal
0,tcp,smtp,SF,395,1350,0,0,0,11,normal
0,tcp,smtp,SF,405,1380,0,0,0,11,normal
0,udp,other,SF,0,0,0,0,0,4,portsweep
0,udp,other,SF,0,0,0,0,0,4,portsweep
0,udp,other,SF,0,0,0,0,0,4,portsweep
0,tcp,telnet,SF,450,1600,0,0,0,15,ipsweep
0,tcp,telnet,SF,460,1620,0,0,0,15,ipsweep
0,tcp,telnet,SF,470,1650,0,0,0,15,ipsweep
0,tcp,http,SF,200,1800,0,0,0,8,normal
0,tcp,http,SF,210,1850,0,0,0,8,normal
0,tcp,http,SF,205,1820,0,0,0,8,normal
0,tcp,http,SF,215,1900,0,0,0,8,normal
0,icmp,eco_i,SF,0,0,0,0,0,5,smurf
0,icmp,eco_i,SF,0,0,0,0,0,5,smurf
0,icmp,eco_i,SF,0,0,0,0,0,5,smurf
0,tcp,ftp_data,SF,0,0,0,0,0,8,normal
0,tcp,ftp_data,SF,0,0,0,0,0,8,normal
0,tcp,ftp_data,SF,0,0,0,0,0,8,normal
0,tcp,private,SF,0,0,0,0,0,22,neptune
0,tcp,private,SF,0,0,0,0,0,22,neptune
0,tcp,private,SF,0,0,0,0,0,22,neptune
0,tcp,smtp,SF,375,1330,0,0,0,12,normal
0,tcp,smtp,SF,380,1340,0,0,0,12,normal
0,tcp,smtp,SF,385,1360,0,0,0,12,normal
0,tcp,telnet,SF,480,1700,0,0,0,16,ipsweep
0,tcp,telnet,SF,485,1710,0,0,0,16,ipsweep
0,tcp,telnet,SF,490,1720,0,0,0,16,ipsweep
0,udp,domain_u,SF,30,30,0,0,0,13,normal
0,udp,domain_u,SF,35,35,0,0,0,13,normal
0,udp,domain_u,SF,38,37,0,0,0,13,normal
0,tcp,http,SF,300,2100,0,0,0,14,normal
0,tcp,http,SF,310,2200,0,0,0,14,normal
0,tcp,http,SF,305,2150,0,0,0,14,normal
0,tcp,ftp,SF,350,2600,0,0,0,10,normal
0,tcp,ftp,SF,360,2700,0,0,0,10,normal
0,tcp,ftp,SF,340,2650,0,0,0,10,normal
0,icmp,eco_i,SF,0,0,0,0,0,6,smurf
0,icmp,eco_i,SF,0,0,0,0,0,6,smurf
0,icmp,eco_i,SF,0,0,0,0,0,6,smurf
0,udp,other,SF,0,0,0,0,0,7,portsweep
0,udp,other,SF,0,0,0,0,0,7,portsweep
0,udp,other,SF,0,0,0,0,0,7,portsweep
0,tcp,private,SF,0,0,0,0,0,21,neptune
0,tcp,private,SF,0,0,0,0,0,21,neptune
0,tcp,private,SF,0,0,0,0,0,21,neptune
0,tcp,http,SF,260,2000,0,0,0,11,normal
0,tcp,http,SF,270,2050,0,0,0,11,normal
0,tcp,http,SF,275,2100,0,0,0,11,normal
